"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Baldwin County, AL"	"01003"	4569	421191	10.85
	"Calhoun County, AL"	"01015"	2695	229339	11.75
	"Etowah County, AL"	"01055"	2427	205319	11.82
	"Houston County, AL"	"01069"	2628	208402	12.61
	"Jefferson County, AL"	"01073"	17361	1318718	13.17
	"Lee County, AL"	"01081"	3796	320595	11.84
	"Madison County, AL"	"01089"	8481	718013	11.81
	"Mobile County, AL"	"01097"	11111	828791	13.41
	"Montgomery County, AL"	"01101"	6311	452995	13.93
	"Morgan County, AL"	"01103"	2905	237830	12.21
	"Shelby County, AL"	"01117"	4670	424227	11.01
	"Tuscaloosa County, AL"	"01125"	5129	413913	12.39
	"Unidentified Counties, AL"	"01999"	46009	3958714	11.62
	"Anchorage Borough, AK"	"02020"	8654	592548	14.60
	"Unidentified Counties, AK"	"02999"	13000	889141	14.62
	"Cochise County, AZ"	"04003"	2864	250526	11.43
	"Coconino County, AZ"	"04005"	3120	281684	11.08
	"Maricopa County, AZ"	"04013"	106759	8550030	12.49
	"Mohave County, AZ"	"04015"	3555	412449	8.62
	"Navajo County, AZ"	"04017"	3005	218982	13.72
	"Pima County, AZ"	"04019"	22404	2038975	10.99
	"Pinal County, AZ"	"04021"	8862	848777	10.44
	"Yavapai County, AZ"	"04025"	3666	453730	8.08
	"Yuma County, AZ"	"04027"	5967	413165	14.44
	"Unidentified Counties, AZ"	"04999"	6190	479023	12.92
	"Benton County, AR"	"05007"	7335	524591	13.98
	"Faulkner County, AR"	"05045"	3079	245881	12.52
	"Pulaski County, AR"	"05119"	10607	787206	13.47
	"Saline County, AR"	"05125"	2601	238026	10.93
	"Sebastian County, AR"	"05131"	3549	255900	13.87
	"Washington County, AR"	"05143"	6479	460045	14.08
	"Unidentified Counties, AR"	"05999"	42144	3480878	12.11
	"Alameda County, CA"	"06001"	38461	3310894	11.62
	"Butte County, CA"	"06007"	4876	456158	10.69
	"Contra Costa County, CA"	"06013"	24520	2282566	10.74
	"El Dorado County, CA"	"06017"	3171	374612	8.46
	"Fresno County, CA"	"06019"	29670	1969170	15.07
	"Humboldt County, CA"	"06023"	2854	273400	10.44
	"Imperial County, CA"	"06025"	5833	363713	16.04
	"Kern County, CA"	"06029"	27054	1777907	15.22
	"Kings County, CA"	"06031"	4621	299886	15.41
	"Los Angeles County, CA"	"06037"	240042	20301422	11.82
	"Madera County, CA"	"06039"	4475	311587	14.36
	"Marin County, CA"	"06041"	4489	521606	8.61
	"Merced County, CA"	"06047"	8319	541345	15.37
	"Monterey County, CA"	"06053"	12029	873139	13.78
	"Napa County, CA"	"06055"	2697	283139	9.53
	"Orange County, CA"	"06059"	75475	6362932	11.86
	"Placer County, CA"	"06061"	7421	766697	9.68
	"Riverside County, CA"	"06065"	60518	4811007	12.58
	"Sacramento County, CA"	"06067"	38790	3045075	12.74
	"San Bernardino County, CA"	"06071"	60675	4297500	14.12
	"San Diego County, CA"	"06073"	83950	6655434	12.61
	"San Francisco County, CA"	"06075"	18009	1755250	10.26
	"San Joaquin County, CA"	"06077"	20196	1479133	13.65
	"San Luis Obispo County, CA"	"06079"	5131	566292	9.06
	"San Mateo County, CA"	"06081"	17545	1536207	11.42
	"Santa Barbara County, CA"	"06083"	11032	894320	12.34
	"Santa Clara County, CA"	"06085"	45175	3857555	11.71
	"Santa Cruz County, CA"	"06087"	5457	550570	9.91
	"Shasta County, CA"	"06089"	4056	359552	11.28
	"Solano County, CA"	"06095"	10390	885665	11.73
	"Sonoma County, CA"	"06097"	9604	1007287	9.53
	"Stanislaus County, CA"	"06099"	15303	1089459	14.05
	"Tulare County, CA"	"06107"	14276	924930	15.43
	"Ventura County, CA"	"06111"	18910	1703961	11.10
	"Yolo County, CA"	"06113"	4695	434918	10.80
	"Unidentified Counties, CA"	"06999"	20766	1862382	11.15
	"Adams County, CO"	"08001"	13282	1001354	13.26
	"Arapahoe County, CO"	"08005"	15484	1280120	12.10
	"Boulder County, CO"	"08013"	5356	644740	8.31
	"Denver County, CO"	"08031"	19600	1397681	14.02
	"Douglas County, CO"	"08035"	6856	663931	10.33
	"El Paso County, CO"	"08041"	18983	1387516	13.68
	"Jefferson County, CO"	"08059"	11923	1146450	10.40
	"Larimer County, CO"	"08069"	6688	683969	9.78
	"Mesa County, CO"	"08077"	3394	301699	11.25
	"Pueblo County, CO"	"08101"	3659	331598	11.03
	"Weld County, CO"	"08123"	8556	599565	14.27
	"Unidentified Counties, CO"	"08999"	17214	1709076	10.07
	"Fairfield County, CT"	"09001"	19968	1894098	10.54
	"Hartford County, CT"	"09003"	18646	1787777	10.43
	"Litchfield County, CT"	"09005"	2824	364748	7.74
	"Middlesex County, CT"	"09007"	2532	326739	7.75
	"New Haven County, CT"	"09009"	17527	1717310	10.21
	"New London County, CT"	"09011"	5250	538834	9.74
	"Tolland County, CT"	"09013"	2314	302579	7.65
	"Windham County, CT"	"09015"	2175	232551	9.35
	"Kent County, DE"	"10001"	4311	351651	12.26
	"New Castle County, DE"	"10003"	12932	1116780	11.58
	"Sussex County, DE"	"10005"	4604	445573	10.33
	"District of Columbia, DC"	"11001"	19418	1375142	14.12
	"Alachua County, FL"	"12001"	5686	530440	10.72
	"Bay County, FL"	"12005"	4658	367537	12.67
	"Brevard County, FL"	"12009"	10474	1168292	8.97
	"Broward County, FL"	"12011"	44885	3845510	11.67
	"Charlotte County, FL"	"12015"	2097	360498	5.82
	"Citrus County, FL"	"12017"	2172	289268	7.51
	"Clay County, FL"	"12019"	4406	420541	10.48
	"Collier County, FL"	"12021"	6504	738016	8.81
	"Duval County, FL"	"12031"	26474	1864189	14.20
	"Escambia County, FL"	"12033"	7921	628699	12.60
	"Hernando County, FL"	"12053"	3137	369388	8.49
	"Hillsborough County, FL"	"12057"	34741	2784804	12.48
	"Indian River County, FL"	"12061"	2522	305946	8.24
	"Lake County, FL"	"12069"	6534	681413	9.59
	"Lee County, FL"	"12071"	13431	1461560	9.19
	"Leon County, FL"	"12073"	6121	578114	10.59
	"Manatee County, FL"	"12081"	6921	761459	9.09
	"Marion County, FL"	"12083"	6968	703373	9.91
	"Martin County, FL"	"12085"	2544	318624	7.98
	"Miami-Dade County, FL"	"12086"	64515	5464741	11.81
	"Okaloosa County, FL"	"12091"	5466	404140	13.53
	"Orange County, FL"	"12095"	33543	2663342	12.59
	"Osceola County, FL"	"12097"	8714	688195	12.66
	"Palm Beach County, FL"	"12099"	30015	2914960	10.30
	"Pasco County, FL"	"12101"	10248	1038011	9.87
	"Pinellas County, FL"	"12103"	16710	1931367	8.65
	"Polk County, FL"	"12105"	15653	1352632	11.57
	"St. Johns County, FL"	"12109"	4255	478899	8.88
	"St. Lucie County, FL"	"12111"	6018	620013	9.71
	"Santa Rosa County, FL"	"12113"	3830	344769	11.11
	"Sarasota County, FL"	"12115"	5750	831688	6.91
	"Seminole County, FL"	"12117"	9527	918138	10.38
	"Volusia County, FL"	"12127"	10018	1068056	9.38
	"Unidentified Counties, FL"	"12999"	26194	2700217	9.70
	"Bartow County, GA"	"13015"	2645	208861	12.66
	"Bibb County, GA"	"13021"	4435	305622	14.51
	"Carroll County, GA"	"13045"	3228	234073	13.79
	"Chatham County, GA"	"13051"	7687	579583	13.26
	"Cherokee County, GA"	"13057"	5282	489262	10.80
	"Clarke County, GA"	"13059"	2778	251771	11.03
	"Clayton County, GA"	"13063"	7622	564615	13.50
	"Cobb County, GA"	"13067"	19167	1503904	12.74
	"Columbia County, GA"	"13073"	3497	299029	11.69
	"Coweta County, GA"	"13077"	3365	283640	11.86
	"DeKalb County, GA"	"13089"	21993	1493574	14.73
	"Douglas County, GA"	"13097"	3422	286106	11.96
	"Fayette County, GA"	"13113"	1797	224176	8.02
	"Forsyth County, GA"	"13117"	4599	448976	10.24
	"Fulton County, GA"	"13121"	26486	2064759	12.83
	"Gwinnett County, GA"	"13135"	22807	1827395	12.48
	"Hall County, GA"	"13139"	5190	395972	13.11
	"Henry County, GA"	"13151"	5092	447581	11.38
	"Houston County, GA"	"13153"	3864	305601	12.64
	"Lowndes County, GA"	"13185"	3276	230117	14.24
	"Muscogee County, GA"	"13215"	5703	391543	14.57
	"Paulding County, GA"	"13223"	3246	315270	10.30
	"Richmond County, GA"	"13245"	6064	403447	15.03
	"Whitfield County, GA"	"13313"	2781	209247	13.29
	"Unidentified Counties, GA"	"13999"	83259	6975626	11.94
	"Hawaii County, HI"	"15001"	4639	398830	11.63
	"Honolulu County, HI"	"15003"	25470	1981255	12.86
	"Maui County, HI"	"15009"	3765	331646	11.35
	"Unidentified Counties, HI"	"15999"	1702	144364	11.79
	"Ada County, ID"	"16001"	9887	900877	10.97
	"Bonneville County, ID"	"16019"	3786	226827	16.69
	"Canyon County, ID"	"16027"	6194	428397	14.46
	"Kootenai County, ID"	"16055"	3565	311948	11.43
	"Unidentified Counties, ID"	"16999"	21231	1532034	13.86
	"Champaign County, IL"	"17019"	4690	417818	11.22
	"Cook County, IL"	"17031"	131153	10414762	12.59
	"DeKalb County, IL"	"17037"	2235	209261	10.68
	"DuPage County, IL"	"17043"	21169	1859496	11.38
	"Kane County, IL"	"17089"	13049	1066382	12.24
	"Kankakee County, IL"	"17091"	2643	219613	12.03
	"Kendall County, IL"	"17093"	3076	250913	12.26
	"Lake County, IL"	"17097"	15267	1406567	10.85
	"LaSalle County, IL"	"17099"	2442	220709	11.06
	"McHenry County, IL"	"17111"	6275	616126	10.18
	"McLean County, IL"	"17113"	4024	344708	11.67
	"Macon County, IL"	"17115"	2625	212351	12.36
	"Madison County, IL"	"17119"	5943	531187	11.19
	"Peoria County, IL"	"17143"	5069	368017	13.77
	"Rock Island County, IL"	"17161"	3444	289592	11.89
	"St. Clair County, IL"	"17163"	6449	525238	12.28
	"Sangamon County, IL"	"17167"	4534	393951	11.51
	"Tazewell County, IL"	"17179"	2946	267911	11.00
	"Will County, IL"	"17197"	15231	1382190	11.02
	"Winnebago County, IL"	"17201"	7212	570651	12.64
	"Unidentified Counties, IL"	"17999"	44359	4036119	10.99
	"Allen County, IN"	"18003"	10357	743281	13.93
	"Clark County, IN"	"18019"	2922	233004	12.54
	"Delaware County, IN"	"18035"	2300	230787	9.97
	"Elkhart County, IN"	"18039"	6213	408813	15.20
	"Hamilton County, IN"	"18057"	7633	640120	11.92
	"Hendricks County, IN"	"18063"	3480	324295	10.73
	"Johnson County, IN"	"18081"	3685	305879	12.05
	"Lake County, IN"	"18089"	11258	971486	11.59
	"La Porte County, IN"	"18091"	2577	220044	11.71
	"Madison County, IN"	"18095"	2902	258794	11.21
	"Marion County, IN"	"18097"	28683	1891311	15.17
	"Monroe County, IN"	"18105"	2550	292482	8.72
	"Porter County, IN"	"18127"	3392	336195	10.09
	"St. Joseph County, IN"	"18141"	7074	539575	13.11
	"Tippecanoe County, IN"	"18157"	4599	378646	12.15
	"Vanderburgh County, IN"	"18163"	4397	363337	12.10
	"Vigo County, IN"	"18167"	2512	215447	11.66
	"Unidentified Counties, IN"	"18999"	58727	4946375	11.87
	"Black Hawk County, IA"	"19013"	3403	265552	12.81
	"Johnson County, IA"	"19103"	3608	295757	12.20
	"Linn County, IA"	"19113"	5599	445776	12.56
	"Polk County, IA"	"19153"	13864	955875	14.50
	"Scott County, IA"	"19163"	4330	344983	12.55
	"Woodbury County, IA"	"19193"	2965	205208	14.45
	"Unidentified Counties, IA"	"19999"	44064	3767253	11.70
	"Douglas County, KS"	"20045"	2311	240233	9.62
	"Johnson County, KS"	"20091"	14583	1175629	12.40
	"Sedgwick County, KS"	"20173"	14233	1025682	13.88
	"Shawnee County, KS"	"20177"	4263	356333	11.96
	"Wyandotte County, KS"	"20209"	5236	329119	15.91
	"Unidentified Counties, KS"	"20999"	33946	2693416	12.60
	"Boone County, KY"	"21015"	3397	259264	13.10
	"Fayette County, KY"	"21067"	8002	640408	12.50
	"Hardin County, KY"	"21093"	2890	215387	13.42
	"Jefferson County, KY"	"21111"	19797	1536510	12.88
	"Kenton County, KY"	"21117"	4660	330344	14.11
	"Warren County, KY"	"21227"	3354	254377	13.19
	"Unidentified Counties, KY"	"21999"	68101	5654873	12.04
	"Ascension Parish, LA"	"22005"	3455	244535	14.13
	"Bossier Parish, LA"	"22015"	3378	253691	13.32
	"Caddo Parish, LA"	"22017"	6595	495432	13.31
	"Calcasieu Parish, LA"	"22019"	6021	403046	14.94
	"East Baton Rouge Parish, LA"	"22033"	12100	893305	13.55
	"Jefferson Parish, LA"	"22051"	11722	875559	13.39
	"Lafayette Parish, LA"	"22055"	6708	483883	13.86
	"Livingston Parish, LA"	"22063"	3749	278366	13.47
	"Orleans Parish, LA"	"22071"	9454	784787	12.05
	"Ouachita Parish, LA"	"22073"	4376	312857	13.99
	"Rapides Parish, LA"	"22079"	3564	264072	13.50
	"St. Tammany Parish, LA"	"22103"	5954	509929	11.68
	"Tangipahoa Parish, LA"	"22105"	3970	263207	15.08
	"Terrebonne Parish, LA"	"22109"	3114	225306	13.82
	"Unidentified Counties, LA"	"22999"	40036	3078024	13.01
	"Androscoggin County, ME"	"23001"	2488	214970	11.57
	"Cumberland County, ME"	"23005"	5563	584541	9.52
	"Kennebec County, ME"	"23011"	2296	242390	9.47
	"Penobscot County, ME"	"23019"	2916	303763	9.60
	"York County, ME"	"23031"	3710	406534	9.13
	"Unidentified Counties, ME"	"23999"	8030	915188	8.77
	"Anne Arundel County, MD"	"24003"	13865	1141581	12.15
	"Baltimore County, MD"	"24005"	19682	1663494	11.83
	"Carroll County, MD"	"24013"	3307	335437	9.86
	"Cecil County, MD"	"24015"	2251	205349	10.96
	"Charles County, MD"	"24017"	3654	317405	11.51
	"Frederick County, MD"	"24021"	5560	499613	11.13
	"Harford County, MD"	"24025"	5323	503192	10.58
	"Howard County, MD"	"24027"	7097	638346	11.12
	"Montgomery County, MD"	"24031"	25804	2102673	12.27
	"Prince George's County, MD"	"24033"	24689	1820805	13.56
	"St. Mary's County, MD"	"24037"	2777	225254	12.33
	"Washington County, MD"	"24043"	3332	300870	11.07
	"Baltimore city, MD"	"24510"	16445	1226312	13.41
	"Unidentified Counties, MD"	"24999"	10991	1088293	10.10
	"Barnstable County, MA"	"25001"	3147	427720	7.36
	"Berkshire County, MA"	"25003"	2020	253216	7.98
	"Bristol County, MA"	"25005"	11376	1119807	10.16
	"Essex County, MA"	"25009"	17041	1564223	10.89
	"Hampden County, MA"	"25013"	9931	938285	10.58
	"Hampshire County, MA"	"25015"	2012	323650	6.22
	"Middlesex County, MA"	"25017"	33934	3192721	10.63
	"Norfolk County, MA"	"25021"	14475	1397503	10.36
	"Plymouth County, MA"	"25023"	10324	1028707	10.04
	"Suffolk County, MA"	"25025"	18743	1582169	11.85
	"Worcester County, MA"	"25027"	17191	1645705	10.45
	"Unidentified Counties, MA"	"25999"	1825	197892	9.22
	"Allegan County, MI"	"26005"	2670	231995	11.51
	"Bay County, MI"	"26017"	2070	208986	9.90
	"Berrien County, MI"	"26021"	3457	308269	11.21
	"Calhoun County, MI"	"26025"	3195	268514	11.90
	"Eaton County, MI"	"26045"	2236	218187	10.25
	"Genesee County, MI"	"26049"	9558	816000	11.71
	"Ingham County, MI"	"26065"	6651	578237	11.50
	"Jackson County, MI"	"26075"	3550	317100	11.20
	"Kalamazoo County, MI"	"26077"	6196	524639	11.81
	"Kent County, MI"	"26081"	17508	1290767	13.56
	"Livingston County, MI"	"26093"	3547	378275	9.38
	"Macomb County, MI"	"26099"	18656	1739105	10.73
	"Monroe County, MI"	"26115"	3008	298857	10.07
	"Muskegon County, MI"	"26121"	4252	347101	12.25
	"Oakland County, MI"	"26125"	26900	2494806	10.78
	"Ottawa County, MI"	"26139"	6705	568633	11.79
	"Saginaw County, MI"	"26145"	4434	384260	11.54
	"St. Clair County, MI"	"26147"	3051	318937	9.57
