"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Baldwin County, AL"	"01003"	2322	212628	10.92
	"Calhoun County, AL"	"01015"	1338	114728	11.66
	"Etowah County, AL"	"01055"	1213	102755	11.80
	"Houston County, AL"	"01069"	1295	104346	12.41
	"Jefferson County, AL"	"01073"	8706	659197	13.21
	"Lee County, AL"	"01081"	1898	161604	11.74
	"Madison County, AL"	"01089"	4253	361046	11.78
	"Mobile County, AL"	"01097"	5607	413955	13.54
	"Montgomery County, AL"	"01101"	3172	226646	14.00
	"Morgan County, AL"	"01103"	1435	118818	12.08
	"Shelby County, AL"	"01117"	2283	213605	10.69
	"Tuscaloosa County, AL"	"01125"	2538	207811	12.21
	"Unidentified Counties, AL"	"01999"	22881	1977608	11.57
	"Anchorage Borough, AK"	"02020"	4136	294356	14.05
	"Unidentified Counties, AK"	"02999"	6309	445439	14.16
	"Cochise County, AZ"	"04003"	1335	124756	10.70
	"Coconino County, AZ"	"04005"	1508	140776	10.71
	"Maricopa County, AZ"	"04013"	52633	4307033	12.22
	"Mohave County, AZ"	"04015"	1753	207200	8.46
	"Navajo County, AZ"	"04017"	1508	108956	13.84
	"Pima County, AZ"	"04019"	10983	1022769	10.74
	"Pinal County, AZ"	"04021"	4392	430237	10.21
	"Yavapai County, AZ"	"04025"	1798	228168	7.88
	"Yuma County, AZ"	"04027"	2960	207534	14.26
	"Unidentified Counties, AZ"	"04999"	3002	238841	12.57
	"Benton County, AR"	"05007"	3713	266300	13.94
	"Faulkner County, AR"	"05045"	1545	123654	12.49
	"Pulaski County, AR"	"05119"	5259	393956	13.35
	"Saline County, AR"	"05125"	1275	119323	10.69
	"Sebastian County, AR"	"05131"	1828	128107	14.27
	"Washington County, AR"	"05143"	3199	231996	13.79
	"Unidentified Counties, AR"	"05999"	20701	1740943	11.89
	"Alameda County, CA"	"06001"	18888	1663190	11.36
	"Butte County, CA"	"06007"	2386	229294	10.41
	"Contra Costa County, CA"	"06013"	12180	1147439	10.61
	"El Dorado County, CA"	"06017"	1570	188987	8.31
	"Fresno County, CA"	"06019"	14541	989255	14.70
	"Humboldt County, CA"	"06023"	1372	136754	10.03
	"Imperial County, CA"	"06025"	2894	182830	15.83
	"Kern County, CA"	"06029"	13326	893119	14.92
	"Kings County, CA"	"06031"	2373	150101	15.81
	"Los Angeles County, CA"	"06037"	116950	10163507	11.51
	"Madera County, CA"	"06039"	2120	156890	13.51
	"Marin County, CA"	"06041"	2237	260955	8.57
	"Merced County, CA"	"06047"	4202	272673	15.41
	"Monterey County, CA"	"06053"	5810	437907	13.27
	"Napa County, CA"	"06055"	1291	140973	9.16
	"Orange County, CA"	"06059"	37369	3190400	11.71
	"Placer County, CA"	"06061"	3689	386166	9.55
	"Riverside County, CA"	"06065"	29857	2423266	12.32
	"Sacramento County, CA"	"06067"	19202	1530615	12.55
