"Notes"	"County of Residence"	"County of Residence Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
	"Mobile County, AL"	"01097"	"15-19 years"	"15-19"	1569	26869	58.394
	"Mobile County, AL"	"01097"	"20-24 years"	"20-24"	6249	28042	222.844
	"Mobile County, AL"	"01097"	"25-29 years"	"25-29"	7009	31936	219.470
	"Mobile County, AL"	"01097"	"30-34 years"	"30-34"	4819	28530	168.910
	"Mobile County, AL"	"01097"	"35-39 years"	"35-39"	1973	26373	74.811
	"Mobile County, AL"	"01097"	"40-44 years"	"40-44"	385	25016	15.390
	"Mobile County, AL"	"01097"	"45-49 years"	"45-49"	13	Not Available	Not Available
	"Mobile County, AL"	"01097"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Montgomery County, AL"	"01101"	"Under 15 years"	"15"	13	Not Available	Not Available
	"Montgomery County, AL"	"01101"	"15-19 years"	"15-19"	1011	14357	70.419
	"Montgomery County, AL"	"01101"	"20-24 years"	"20-24"	3350	16879	198.471
	"Montgomery County, AL"	"01101"	"25-29 years"	"25-29"	3851	18147	212.211
	"Montgomery County, AL"	"01101"	"30-34 years"	"30-34"	2816	16230	173.506
	"Montgomery County, AL"	"01101"	"35-39 years"	"35-39"	1331	15779	84.353
	"Montgomery County, AL"	"01101"	"40-44 years"	"40-44"	235	14461	16.251
	"Montgomery County, AL"	"01101"	"45-49 years"	"45-49"	10	Not Available	Not Available
	"Montgomery County, AL"	"01101"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Morgan County, AL"	"01103"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Morgan County, AL"	"01103"	"15-19 years"	"15-19"	503	7153	70.320
	"Morgan County, AL"	"01103"	"20-24 years"	"20-24"	1698	6766	250.961
	"Morgan County, AL"	"01103"	"25-29 years"	"25-29"	1767	7393	239.010
	"Morgan County, AL"	"01103"	"30-34 years"	"30-34"	1215	6984	173.969
	"Morgan County, AL"	"01103"	"35-39 years"	"35-39"	498	7426	67.062
	"Morgan County, AL"	"01103"	"40-44 years"	"40-44"	84	7157	11.737
	"Morgan County, AL"	"01103"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Morgan County, AL"	"01103"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Shelby County, AL"	"01117"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Shelby County, AL"	"01117"	"15-19 years"	"15-19"	299	14353	20.832
	"Shelby County, AL"	"01117"	"20-24 years"	"20-24"	1430	12152	117.676
	"Shelby County, AL"	"01117"	"25-29 years"	"25-29"	2803	12949	216.465
	"Shelby County, AL"	"01117"	"30-34 years"	"30-34"	2884	14146	203.874
	"Shelby County, AL"	"01117"	"35-39 years"	"35-39"	1471	15181	96.897
	"Shelby County, AL"	"01117"	"40-44 years"	"40-44"	220	14980	14.686
	"Shelby County, AL"	"01117"	"45-49 years"	"45-49"	14	Not Available	Not Available
	"Shelby County, AL"	"01117"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Tuscaloosa County, AL"	"01125"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Tuscaloosa County, AL"	"01125"	"15-19 years"	"15-19"	696	18316	38.000
	"Tuscaloosa County, AL"	"01125"	"20-24 years"	"20-24"	2659	25369	104.813
	"Tuscaloosa County, AL"	"01125"	"25-29 years"	"25-29"	3384	17558	192.733
	"Tuscaloosa County, AL"	"01125"	"30-34 years"	"30-34"	2304	13309	173.116
	"Tuscaloosa County, AL"	"01125"	"35-39 years"	"35-39"	963	13246	72.701
	"Tuscaloosa County, AL"	"01125"	"40-44 years"	"40-44"	148	12136	12.195
	"Tuscaloosa County, AL"	"01125"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Tuscaloosa County, AL"	"01125"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Unidentified Counties, AL"	"01999"	"Under 15 years"	"15"	82	Not Available	Not Available
	"Unidentified Counties, AL"	"01999"	"15-19 years"	"15-19"	7465	432882	17.245
	"Unidentified Counties, AL"	"01999"	"20-24 years"	"20-24"	27873	442938	62.928
	"Unidentified Counties, AL"	"01999"	"25-29 years"	"25-29"	29637	465915	63.610
	"Unidentified Counties, AL"	"01999"	"30-34 years"	"30-34"	17957	429433	41.816
	"Unidentified Counties, AL"	"01999"	"35-39 years"	"35-39"	6903	432199	15.972
	"Unidentified Counties, AL"	"01999"	"40-44 years"	"40-44"	1286	419790	3.063
	"Unidentified Counties, AL"	"01999"	"45-49 years"	"45-49"	65	Not Available	Not Available
	"Unidentified Counties, AL"	"01999"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Anchorage Borough, AK"	"02020"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Anchorage Borough, AK"	"02020"	"15-19 years"	"15-19"	631	17691	35.668
	"Anchorage Borough, AK"	"02020"	"20-24 years"	"20-24"	3300	20504	160.944
	"Anchorage Borough, AK"	"02020"	"25-29 years"	"25-29"	5055	26191	193.005
	"Anchorage Borough, AK"	"02020"	"30-34 years"	"30-34"	4676	23824	196.273
	"Anchorage Borough, AK"	"02020"	"35-39 years"	"35-39"	2407	20431	117.811
	"Anchorage Borough, AK"	"02020"	"40-44 years"	"40-44"	469	17204	27.261
	"Anchorage Borough, AK"	"02020"	"45-49 years"	"45-49"	26	Not Available	Not Available
	"Anchorage Borough, AK"	"02020"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Unidentified Counties, AK"	"02999"	"Under 15 years"	"15"	14	Not Available	Not Available
	"Unidentified Counties, AK"	"02999"	"15-19 years"	"15-19"	1254	70484	17.791
	"Unidentified Counties, AK"	"02999"	"20-24 years"	"20-24"	5757	71866	80.107
	"Unidentified Counties, AK"	"02999"	"25-29 years"	"25-29"	8084	88504	91.341
	"Unidentified Counties, AK"	"02999"	"30-34 years"	"30-34"	6419	84840	75.660
	"Unidentified Counties, AK"	"02999"	"35-39 years"	"35-39"	2855	76950	37.102
	"Unidentified Counties, AK"	"02999"	"40-44 years"	"40-44"	566	64845	8.729
	"Unidentified Counties, AK"	"02999"	"45-49 years"	"45-49"	38	Not Available	Not Available
	"Unidentified Counties, AK"	"02999"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Cochise County, AZ"	"04003"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Cochise County, AZ"	"04003"	"15-19 years"	"15-19"	401	7330	54.707
	"Cochise County, AZ"	"04003"	"20-24 years"	"20-24"	1443	6424	224.626
	"Cochise County, AZ"	"04003"	"25-29 years"	"25-29"	1837	7034	261.160
	"Cochise County, AZ"	"04003"	"30-34 years"	"30-34"	1214	6918	175.484
	"Cochise County, AZ"	"04003"	"35-39 years"	"35-39"	542	6697	80.932
	"Cochise County, AZ"	"04003"	"40-44 years"	"40-44"	110	6080	18.092
	"Cochise County, AZ"	"04003"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Cochise County, AZ"	"04003"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Coconino County, AZ"	"04005"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Coconino County, AZ"	"04005"	"15-19 years"	"15-19"	396	14631	27.066
	"Coconino County, AZ"	"04005"	"20-24 years"	"20-24"	1252	20508	61.049
	"Coconino County, AZ"	"04005"	"25-29 years"	"25-29"	1857	10160	182.776
	"Coconino County, AZ"	"04005"	"30-34 years"	"30-34"	1536	8388	183.119
	"Coconino County, AZ"	"04005"	"35-39 years"	"35-39"	776	8015	96.818
	"Coconino County, AZ"	"04005"	"40-44 years"	"40-44"	166	6883	24.117
	"Coconino County, AZ"	"04005"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Coconino County, AZ"	"04005"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Maricopa County, AZ"	"04013"	"Under 15 years"	"15"	87	Not Available	Not Available
	"Maricopa County, AZ"	"04013"	"15-19 years"	"15-19"	11327	282334	40.119
	"Maricopa County, AZ"	"04013"	"20-24 years"	"20-24"	44214	276422	159.951
	"Maricopa County, AZ"	"04013"	"25-29 years"	"25-29"	62485	315643	197.961
	"Maricopa County, AZ"	"04013"	"30-34 years"	"30-34"	56579	290613	194.688
	"Maricopa County, AZ"	"04013"	"35-39 years"	"35-39"	28458	284332	100.087
	"Maricopa County, AZ"	"04013"	"40-44 years"	"40-44"	6167	272966	22.593
	"Maricopa County, AZ"	"04013"	"45-49 years"	"45-49"	430	Not Available	Not Available
	"Maricopa County, AZ"	"04013"	"50 years and over"	"50+"	31	Not Available	Not Available
	"Mohave County, AZ"	"04015"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Mohave County, AZ"	"04015"	"15-19 years"	"15-19"	514	10050	51.144
	"Mohave County, AZ"	"04015"	"20-24 years"	"20-24"	2075	8704	238.396
	"Mohave County, AZ"	"04015"	"25-29 years"	"25-29"	2293	10277	223.120
	"Mohave County, AZ"	"04015"	"30-34 years"	"30-34"	1480	9212	160.660
	"Mohave County, AZ"	"04015"	"35-39 years"	"35-39"	588	9048	64.987
	"Mohave County, AZ"	"04015"	"40-44 years"	"40-44"	123	8736	14.080
	"Mohave County, AZ"	"04015"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Mohave County, AZ"	"04015"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Navajo County, AZ"	"04017"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Navajo County, AZ"	"04017"	"15-19 years"	"15-19"	530	7583	69.893
	"Navajo County, AZ"	"04017"	"20-24 years"	"20-24"	1528	6170	247.650
	"Navajo County, AZ"	"04017"	"25-29 years"	"25-29"	1737	6641	261.557
	"Navajo County, AZ"	"04017"	"30-34 years"	"30-34"	1226	5758	212.921
	"Navajo County, AZ"	"04017"	"35-39 years"	"35-39"	586	5681	103.151
	"Navajo County, AZ"	"04017"	"40-44 years"	"40-44"	128	5505	23.252
	"Navajo County, AZ"	"04017"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Navajo County, AZ"	"04017"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Pima County, AZ"	"04019"	"Under 15 years"	"15"	26	Not Available	Not Available
	"Pima County, AZ"	"04019"	"15-19 years"	"15-19"	2544	68049	37.385
	"Pima County, AZ"	"04019"	"20-24 years"	"20-24"	9684	88630	109.263
	"Pima County, AZ"	"04019"	"25-29 years"	"25-29"	13330	63556	209.736
	"Pima County, AZ"	"04019"	"30-34 years"	"30-34"	11182	58138	192.335
	"Pima County, AZ"	"04019"	"35-39 years"	"35-39"	5520	59482	92.801
	"Pima County, AZ"	"04019"	"40-44 years"	"40-44"	1087	55579	19.558
	"Pima County, AZ"	"04019"	"45-49 years"	"45-49"	77	Not Available	Not Available
	"Pima County, AZ"	"04019"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Pinal County, AZ"	"04021"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Pinal County, AZ"	"04021"	"15-19 years"	"15-19"	1144	24729	46.261
	"Pinal County, AZ"	"04021"	"20-24 years"	"20-24"	4367	19897	219.480
	"Pinal County, AZ"	"04021"	"25-29 years"	"25-29"	5832	22854	255.185
	"Pinal County, AZ"	"04021"	"30-34 years"	"30-34"	4149	24966	166.186
	"Pinal County, AZ"	"04021"	"35-39 years"	"35-39"	1953	26116	74.782
	"Pinal County, AZ"	"04021"	"40-44 years"	"40-44"	379	23785	15.934
	"Pinal County, AZ"	"04021"	"45-49 years"	"45-49"	35	Not Available	Not Available
	"Pinal County, AZ"	"04021"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Yavapai County, AZ"	"04025"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Yavapai County, AZ"	"04025"	"15-19 years"	"15-19"	482	10665	45.195
	"Yavapai County, AZ"	"04025"	"20-24 years"	"20-24"	1991	9543	208.635
	"Yavapai County, AZ"	"04025"	"25-29 years"	"25-29"	2165	10272	210.767
	"Yavapai County, AZ"	"04025"	"30-34 years"	"30-34"	1613	9791	164.743
	"Yavapai County, AZ"	"04025"	"35-39 years"	"35-39"	787	9866	79.769
	"Yavapai County, AZ"	"04025"	"40-44 years"	"40-44"	183	10038	18.231
	"Yavapai County, AZ"	"04025"	"45-49 years"	"45-49"	14	Not Available	Not Available
	"Yavapai County, AZ"	"04025"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Yuma County, AZ"	"04027"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Yuma County, AZ"	"04027"	"15-19 years"	"15-19"	963	13899	69.286
	"Yuma County, AZ"	"04027"	"20-24 years"	"20-24"	3436	14080	244.034
	"Yuma County, AZ"	"04027"	"25-29 years"	"25-29"	3748	13349	280.770
	"Yuma County, AZ"	"04027"	"30-34 years"	"30-34"	2517	11861	212.208
	"Yuma County, AZ"	"04027"	"35-39 years"	"35-39"	1064	11037	96.403
	"Yuma County, AZ"	"04027"	"40-44 years"	"40-44"	210	10364	20.262
	"Yuma County, AZ"	"04027"	"45-49 years"	"45-49"	12	Not Available	Not Available
	"Yuma County, AZ"	"04027"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Unidentified Counties, AZ"	"04999"	"Under 15 years"	"15"	21	Not Available	Not Available
	"Unidentified Counties, AZ"	"04999"	"15-19 years"	"15-19"	1049	481614	2.178
	"Unidentified Counties, AZ"	"04999"	"20-24 years"	"20-24"	3219	488981	6.583
	"Unidentified Counties, AZ"	"04999"	"25-29 years"	"25-29"	3695	515128	7.173
	"Unidentified Counties, AZ"	"04999"	"30-34 years"	"30-34"	2383	469932	5.071
	"Unidentified Counties, AZ"	"04999"	"35-39 years"	"35-39"	1179	466159	2.529
	"Unidentified Counties, AZ"	"04999"	"40-44 years"	"40-44"	251	434885	0.577
	"Unidentified Counties, AZ"	"04999"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"Unidentified Counties, AZ"	"04999"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Benton County, AR"	"05007"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Benton County, AR"	"05007"	"15-19 years"	"15-19"	857	17531	48.885
	"Benton County, AR"	"05007"	"20-24 years"	"20-24"	2996	14995	199.800
	"Benton County, AR"	"05007"	"25-29 years"	"25-29"	4616	18280	252.516
	"Benton County, AR"	"05007"	"30-34 years"	"30-34"	4062	19685	206.350
	"Benton County, AR"	"05007"	"35-39 years"	"35-39"	1781	19762	90.122
	"Benton County, AR"	"05007"	"40-44 years"	"40-44"	299	17138	17.447
	"Benton County, AR"	"05007"	"45-49 years"	"45-49"	15	Not Available	Not Available
	"Benton County, AR"	"05007"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Faulkner County, AR"	"05045"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Faulkner County, AR"	"05045"	"15-19 years"	"15-19"	339	9147	37.061
	"Faulkner County, AR"	"05045"	"20-24 years"	"20-24"	1529	15214	100.500
	"Faulkner County, AR"	"05045"	"25-29 years"	"25-29"	2060	9505	216.728
	"Faulkner County, AR"	"05045"	"30-34 years"	"30-34"	1507	8458	178.175
	"Faulkner County, AR"	"05045"	"35-39 years"	"35-39"	517	7744	66.761
	"Faulkner County, AR"	"05045"	"40-44 years"	"40-44"	99	7432	13.321
	"Faulkner County, AR"	"05045"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Faulkner County, AR"	"05045"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Pulaski County, AR"	"05119"	"Under 15 years"	"15"	28	Not Available	Not Available
	"Pulaski County, AR"	"05119"	"15-19 years"	"15-19"	1311	22953	57.117
	"Pulaski County, AR"	"05119"	"20-24 years"	"20-24"	5010	25445	196.895
	"Pulaski County, AR"	"05119"	"25-29 years"	"25-29"	6337	31328	202.279
	"Pulaski County, AR"	"05119"	"30-34 years"	"30-34"	5391	29400	183.367
	"Pulaski County, AR"	"05119"	"35-39 years"	"35-39"	2402	27587	87.070
	"Pulaski County, AR"	"05119"	"40-44 years"	"40-44"	409	25098	16.296
	"Pulaski County, AR"	"05119"	"45-49 years"	"45-49"	23	Not Available	Not Available
	"Pulaski County, AR"	"05119"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Saline County, AR"	"05125"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Saline County, AR"	"05125"	"15-19 years"	"15-19"	259	7181	36.067
	"Saline County, AR"	"05125"	"20-24 years"	"20-24"	1165	6149	189.462
	"Saline County, AR"	"05125"	"25-29 years"	"25-29"	1831	7590	241.238
	"Saline County, AR"	"05125"	"30-34 years"	"30-34"	1434	8018	178.848
	"Saline County, AR"	"05125"	"35-39 years"	"35-39"	524	8296	63.163
	"Saline County, AR"	"05125"	"40-44 years"	"40-44"	95	7846	12.108
	"Saline County, AR"	"05125"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Saline County, AR"	"05125"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Sebastian County, AR"	"05131"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Sebastian County, AR"	"05131"	"15-19 years"	"15-19"	572	8344	68.552
	"Sebastian County, AR"	"05131"	"20-24 years"	"20-24"	1968	8587	229.184
	"Sebastian County, AR"	"05131"	"25-29 years"	"25-29"	2147	8986	238.927
	"Sebastian County, AR"	"05131"	"30-34 years"	"30-34"	1470	8197	179.334
	"Sebastian County, AR"	"05131"	"35-39 years"	"35-39"	581	7873	73.797
	"Sebastian County, AR"	"05131"	"40-44 years"	"40-44"	128	7926	16.149
	"Sebastian County, AR"	"05131"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Sebastian County, AR"	"05131"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Washington County, AR"	"05143"	"Under 15 years"	"15"	11	Not Available	Not Available
	"Washington County, AR"	"05143"	"15-19 years"	"15-19"	913	18362	49.722
	"Washington County, AR"	"05143"	"20-24 years"	"20-24"	3062	23174	132.131
	"Washington County, AR"	"05143"	"25-29 years"	"25-29"	3786	18226	207.725
	"Washington County, AR"	"05143"	"30-34 years"	"30-34"	3309	16161	204.752
	"Washington County, AR"	"05143"	"35-39 years"	"35-39"	1524	15630	97.505
	"Washington County, AR"	"05143"	"40-44 years"	"40-44"	259	13568	19.089
	"Washington County, AR"	"05143"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"Washington County, AR"	"05143"	"50 years and over"	"50+"	Suppressed	Not Available	Not Available
	"Unidentified Counties, AR"	"05999"	"Under 15 years"	"15"	91	Not Available	Not Available
	"Unidentified Counties, AR"	"05999"	"15-19 years"	"15-19"	8109	303207	26.744
	"Unidentified Counties, AR"	"05999"	"20-24 years"	"20-24"	27024	303069	89.168
	"Unidentified Counties, AR"	"05999"	"25-29 years"	"25-29"	25697	313109	82.070
	"Unidentified Counties, AR"	"05999"	"30-34 years"	"30-34"	14767	291055	50.736
	"Unidentified Counties, AR"	"05999"	"35-39 years"	"35-39"	5859	293950	19.932
	"Unidentified Counties, AR"	"05999"	"40-44 years"	"40-44"	1102	279316	3.945
	"Unidentified Counties, AR"	"05999"	"45-49 years"	"45-49"	46	Not Available	Not Available
	"Unidentified Counties, AR"	"05999"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Alameda County, CA"	"06001"	"Under 15 years"	"15"	12	Not Available	Not Available
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	1475	92943	15.870
	"Alameda County, CA"	"06001"	"20-24 years"	"20-24"	7246	101755	71.210
	"Alameda County, CA"	"06001"	"25-29 years"	"25-29"	16179	137634	117.551
	"Alameda County, CA"	"06001"	"30-34 years"	"30-34"	27385	138091	198.311
	"Alameda County, CA"	"06001"	"35-39 years"	"35-39"	18140	129199	140.404
	"Alameda County, CA"	"06001"	"40-44 years"	"40-44"	4088	118081	34.620
	"Alameda County, CA"	"06001"	"45-49 years"	"45-49"	340	Not Available	Not Available
	"Alameda County, CA"	"06001"	"50 years and over"	"50+"	48	Not Available	Not Available
	"Butte County, CA"	"06007"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Butte County, CA"	"06007"	"15-19 years"	"15-19"	408	15392	26.507
	"Butte County, CA"	"06007"	"20-24 years"	"20-24"	1879	24793	75.788
	"Butte County, CA"	"06007"	"25-29 years"	"25-29"	2907	14970	194.188
	"Butte County, CA"	"06007"	"30-34 years"	"30-34"	2697	13177	204.675
	"Butte County, CA"	"06007"	"35-39 years"	"35-39"	1300	12499	104.008
	"Butte County, CA"	"06007"	"40-44 years"	"40-44"	235	11171	21.037
	"Butte County, CA"	"06007"	"45-49 years"	"45-49"	24	Not Available	Not Available
	"Butte County, CA"	"06007"	"50 years and over"	"50+"	Suppressed	Not Available	Suppressed
	"Contra Costa County, CA"	"06013"	"Under 15 years"	"15"	11	Not Available	Not Available
	"Contra Costa County, CA"	"06013"	"15-19 years"	"15-19"	1224	71074	17.221
	"Contra Costa County, CA"	"06013"	"20-24 years"	"20-24"	5648	66768	84.591
	"Contra Costa County, CA"	"06013"	"25-29 years"	"25-29"	11399	71052	160.432
	"Contra Costa County, CA"	"06013"	"30-34 years"	"30-34"	16743	74152	225.793
	"Contra Costa County, CA"	"06013"	"35-39 years"	"35-39"	10504	78313	134.128
	"Contra Costa County, CA"	"06013"	"40-44 years"	"40-44"	2466	77845	31.678
	"Contra Costa County, CA"	"06013"	"45-49 years"	"45-49"	231	Not Available	Not Available
	"Contra Costa County, CA"	"06013"	"50 years and over"	"50+"	25	Not Available	Not Available
	"El Dorado County, CA"	"06017"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"El Dorado County, CA"	"06017"	"15-19 years"	"15-19"	166	10718	15.488
	"El Dorado County, CA"	"06017"	"20-24 years"	"20-24"	822	9462	86.874
	"El Dorado County, CA"	"06017"	"25-29 years"	"25-29"	1692	8970	188.629
	"El Dorado County, CA"	"06017"	"30-34 years"	"30-34"	2179	9328	233.598
	"El Dorado County, CA"	"06017"	"35-39 years"	"35-39"	1237	10284	120.284
